ObjectName,Collection,Vertices,Triangles,Materials,Parent,AttachmentBone,BindingStatus,NonManifoldEdges,BoundaryEdges,LooseEdges,ZeroAreaFaces
Body_Base,GEO_CLOTH,226,448,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
BootSole_L,GEO_BODY,74,144,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
BootSole_R,GEO_BODY,74,144,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Boot_L,GEO_BODY,122,240,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Boot_R,GEO_BODY,122,240,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Bracer_L,GEO_ARMOR,86,168,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Bracer_R,GEO_ARMOR,86,168,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Calf_L,GEO_CLOTH,106,208,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Calf_R,GEO_CLOTH,106,208,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ChestArmor,GEO_ARMOR,182,360,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ChestArmor_Center,GEO_ARMOR,96,188,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ChestArmor_Lamellar_1,GEO_ARMOR,432,860,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ChestArmor_Lamellar_2,GEO_ARMOR,432,860,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ChestArmor_Lamellar_3,GEO_ARMOR,432,860,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ChestArmor_Lamellar_4,GEO_ARMOR,432,860,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Elbow_L,GEO_CLOTH,314,624,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Elbow_R,GEO_CLOTH,314,624,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Forearm_L,GEO_CLOTH,98,192,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Forearm_R,GEO_CLOTH,98,192,MAT_P03R1_Clay,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Belt_Clasp,GEO_ARMOR,56,108,MAT_P03R1_Clay,Armature,Hips,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Bracer_Rim_L,GEO_ARMOR,120,240,MAT_P03R1_Clay,Armature,LeftLowerArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Bracer_Rim_R,GEO_ARMOR,120,240,MAT_P03R1_Clay,Armature,RightLowerArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Bracer_Strap_L,GEO_ARMOR,56,108,MAT_P03R1_Clay,Armature,LeftLowerArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Bracer_Strap_R,GEO_ARMOR,56,108,MAT_P03R1_Clay,Armature,RightLowerArm,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ChestArmor_RaisedDivisions,GEO_ARMOR,1120,2160,MAT_P03R1_Clay,Armature,Chest,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ChestArmor_SideReturns,GEO_ARMOR,112,216,MAT_P03R1_Clay,Armature,Chest,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_ChestArmor_UpperSupport,GEO_ARMOR,56,108,MAT_P03R1_Clay,Armature,Chest,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Helmet_BrowBand,GEO_ARMOR,32,60,MAT_P03R1_Clay,Armature,Head,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Helmet_RearGuard,GEO_ARMOR,96,188,MAT_P03R1_Clay,Armature,Head,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_KneeClothBoundary_L,GEO_CLOTH,120,240,MAT_P03R1_Clay,Armature,LeftFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_KneeClothBoundary_R,GEO_CLOTH,120,240,MAT_P03R1_Clay,Armature,RightFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_LegWrap_TuckedEnd_L,GEO_CLOTH,96,188,MAT_P03R1_Clay,Armature,LeftFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_LegWrap_TuckedEnd_R,GEO_CLOTH,96,188,MAT_P03R1_Clay,Armature,RightFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_PlumeMount_Ring,GEO_ARMOR,120,240,MAT_P03R1_Clay,Armature,Head,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Plume_Division,GEO_CLOTH,26,48,MAT_P03R1_Clay,Armature,Head,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Scarf_BroadDrape_P03R1,GEO_CLOTH,92,180,MAT_P03R1_Clay,Armature,Chest,PHASE03_REVISION_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Scarf_RearTaper_P03R1,GEO_CLOTH,68,132,MAT_P03R1_Clay,Armature,Chest,PHASE03_REVISION_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Shield_BackMajorBrace_P03R1,GEO_WEAPONS,56,108,MAT_P03R1_Clay,Armature,LeftHand,PHASE03_REVISION_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Shield_BackSecondaryBrace_P03R1,GEO_WEAPONS,56,108,MAT_P03R1_Clay,Armature,LeftHand,PHASE03_REVISION_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Shield_BossBase,GEO_WEAPONS,120,240,MAT_P03R1_Clay,Armature,LeftHand,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
