armature,bone,parent,deform
Armature,Root,,True
Armature,Hips,Root,True
Armature,Spine,Hips,True
Armature,Chest,Spine,True
Armature,UpperChest,Chest,True
Armature,Neck,UpperChest,True
Armature,Head,Neck,True
Armature,LeftShoulder,UpperChest,True
Armature,LeftUpperArm,LeftShoulder,True
Armature,LeftLowerArm,LeftUpperArm,True
Armature,LeftHand,LeftLowerArm,True
Armature,RightShoulder,UpperChest,True
Armature,RightUpperArm,RightShoulder,True
Armature,RightLowerArm,RightUpperArm,True
Armature,RightHand,RightLowerArm,True
Armature,LeftUpperLeg,Hips,True
Armature,LeftLowerLeg,LeftUpperLeg,True
Armature,LeftFoot,LeftLowerLeg,True
Armature,LeftToes,LeftFoot,True
Armature,RightUpperLeg,Hips,True
Armature,RightLowerLeg,RightUpperLeg,True
Armature,RightFoot,RightLowerLeg,True
Armature,RightToes,RightFoot,True
