ObjectName,Collection,Vertices,Triangles,Materials,Parent,AttachmentBone,BindingStatus,NonManifoldEdges,BoundaryEdges,LooseEdges,ZeroAreaFaces
Body_Base,GEO_CLOTH,226,448,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
BootSole_L,GEO_BODY,74,144,MATID_Leather,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
BootSole_R,GEO_BODY,74,144,MATID_Leather,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Boot_L,GEO_BODY,122,240,MATID_Leather,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Boot_R,GEO_BODY,122,240,MATID_Leather,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Bracer_L,GEO_ARMOR,86,168,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Bracer_R,GEO_ARMOR,86,168,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Calf_L,GEO_CLOTH,106,208,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Calf_R,GEO_CLOTH,106,208,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ChestArmor,GEO_ARMOR,182,360,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ChestArmor_Center,GEO_ARMOR,96,188,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ChestArmor_Lamellar_1,GEO_ARMOR,432,860,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ChestArmor_Lamellar_2,GEO_ARMOR,432,860,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ChestArmor_Lamellar_3,GEO_ARMOR,432,860,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
ChestArmor_Lamellar_4,GEO_ARMOR,432,860,MATID_Metal,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Elbow_L,GEO_CLOTH,314,624,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Elbow_R,GEO_CLOTH,314,624,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Forearm_L,GEO_CLOTH,98,192,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
Forearm_R,GEO_CLOTH,98,192,MATID_Cloth,Armature,,PHASE02_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Belt_Clasp,GEO_ARMOR,56,108,MATID_Metal,Armature,Hips,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Boot_HeelBlock_L,GEO_BODY,56,108,MATID_Leather,Armature,LeftFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Boot_HeelBlock_R,GEO_BODY,56,108,MATID_Leather,Armature,RightFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Boot_ToePanel_L,GEO_BODY,114,224,MATID_Leather,Armature,LeftFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Boot_ToePanel_R,GEO_BODY,114,224,MATID_Leather,Armature,RightFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Boot_UpperPanel_L,GEO_BODY,96,188,MATID_Leather,Armature,LeftFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
GEO_Infantry_Boot_UpperPanel_R,GEO_BODY,96,188,MATID_Leather,Armature,RightFoot,PHASE03_STATIC_APOSE_REVIEW,0,0,0,0
