ObjectName,Collection,Vertices,Triangles,Materials,Parent,ParentType,ParentBone,AttachmentBone,AttachmentRoot,NonManifoldEdges,BoundaryEdges,LooseEdges,ZeroAreaFaces
Body_Base,GEO_CLOTH,226,448,MATID_Cloth,Armature,OBJECT,,,,0,0,0,0
BootSole_L,GEO_BODY,74,144,MATID_Leather,Armature,OBJECT,,,,0,0,0,0
BootSole_R,GEO_BODY,74,144,MATID_Leather,Armature,OBJECT,,,,0,0,0,0
Boot_L,GEO_BODY,122,240,MATID_Leather,Armature,OBJECT,,,,0,0,0,0
Boot_R,GEO_BODY,122,240,MATID_Leather,Armature,OBJECT,,,,0,0,0,0
Bracer_L,GEO_ARMOR,86,168,MATID_Metal,Armature,OBJECT,,,,0,0,0,0
Bracer_R,GEO_ARMOR,86,168,MATID_Metal,Armature,OBJECT,,,,0,0,0,0
Calf_L,GEO_CLOTH,106,208,MATID_Cloth,Armature,OBJECT,,,,0,0,0,0
Calf_R,GEO_CLOTH,106,208,MATID_Cloth,Armature,OBJECT,,,,0,0,0,0
ChestArmor,GEO_ARMOR,182,360,MATID_Metal,Armature,OBJECT,,,,0,0,0,0
ChestArmor_Center,GEO_ARMOR,96,188,MATID_Metal,Armature,OBJECT,,,,0,0,0,0
ChestArmor_Lamellar_1,GEO_ARMOR,432,860,MATID_Metal,Armature,OBJECT,,,,0,0,0,0
ChestArmor_Lamellar_2,GEO_ARMOR,432,860,MATID_Metal,Armature,OBJECT,,,,0,0,0,0
ChestArmor_Lamellar_3,GEO_ARMOR,432,860,MATID_Metal,Armature,OBJECT,,,,0,0,0,0
ChestArmor_Lamellar_4,GEO_ARMOR,432,860,MATID_Metal,Armature,OBJECT,,,,0,0,0,0
Elbow_L,GEO_CLOTH,314,624,MATID_Cloth,Armature,OBJECT,,,,0,0,0,0
Elbow_R,GEO_CLOTH,314,624,MATID_Cloth,Armature,OBJECT,,,,0,0,0,0
Forearm_L,GEO_CLOTH,98,192,MATID_Cloth,Armature,OBJECT,,,,0,0,0,0
Forearm_R,GEO_CLOTH,98,192,MATID_Cloth,Armature,OBJECT,,,,0,0,0,0
GEO_Infantry_Belt_Clasp,GEO_ARMOR,56,108,MATID_Metal,Armature,OBJECT,,Hips,,0,0,0,0
GEO_Infantry_Bracer_Rim_L,GEO_ARMOR,120,240,MATID_Metal,Armature,OBJECT,,LeftLowerArm,,0,0,0,0
GEO_Infantry_Bracer_Rim_R,GEO_ARMOR,120,240,MATID_Metal,Armature,OBJECT,,RightLowerArm,,0,0,0,0
GEO_Infantry_Bracer_Strap_L,GEO_ARMOR,56,108,MATID_Leather,Armature,OBJECT,,LeftLowerArm,,0,0,0,0
GEO_Infantry_Bracer_Strap_R,GEO_ARMOR,56,108,MATID_Leather,Armature,OBJECT,,RightLowerArm,,0,0,0,0
GEO_Infantry_ChestArmor_RaisedDivisions,GEO_ARMOR,1120,2160,MATID_Metal,Armature,OBJECT,,Chest,,0,0,0,0
GEO_Infantry_ChestArmor_SideReturns,GEO_ARMOR,112,216,MATID_Metal,Armature,OBJECT,,Chest,,0,0,0,0
GEO_Infantry_ChestArmor_UpperSupport,GEO_ARMOR,56,108,MATID_Metal,Armature,OBJECT,,Chest,,0,0,0,0
GEO_Infantry_Helmet_BrowBand,GEO_ARMOR,32,60,MATID_Metal,Armature,OBJECT,,Head,,0,0,0,0
