"Category","FileName","OriginalPath","CopiedPath","FileSize","ModifiedTime","Status","Notes"
"L1 Concept","Unit_03_Infantry_L1_Concept_Final.png","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Concepts\Unit_03_Infantry_L1_Concept_Final.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/L1_Concept/v001/Unit_03_Infantry_L1_Concept_Final.png","1981819","2026-08-12T16:46:33+08:00","CURRENT REFERENCE","Legacy L1 final; also linked into v002."
"L1 Concept","Unit_03_Infantry_L1_Concept_Alternate.png","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Concepts\Unit_03_Infantry_L1_Concept_Alternate.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/L1_Concept/v001/Unit_03_Infantry_L1_Concept_Alternate.png","1723990","2026-08-12T16:46:33+08:00","LEGACY ALTERNATE","Alternate concept for comparison."
"L1 Concept","Unit_03_Infantry_L1_Concept_Final.png","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Reference\Unit_03_Infantry_L1_Concept_Final.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/L1_Concept/v002_LinkedReference/Unit_03_Infantry_L1_Concept_Final.png","1981819","2026-08-12T21:11:00+08:00","CURRENT LINKED COPY","Reference physically stored with current v002 source."
"L2 Reference","PREVIEW_Dimensions_Front.png","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Previews\Dimensions\PREVIEW_Dimensions_Front.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/L2_Reference/v001/PREVIEW_Dimensions_Front.png","20503","2026-08-12T16:46:33+08:00","LEGACY SUPPORTING","Front dimension preview; not a complete production turnaround."
"L2 Reference","UV_Infantry_A_Base_LOD0.png","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\UV\UV_Infantry_A_Base_LOD0.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/L2_Reference/v001/UV_Infantry_A_Base_LOD0.png","37948","2026-08-12T16:46:33+08:00","LEGACY SUPPORTING","UV layout reference."
"L2 Reference","UV_Infantry_A_TeamColor_LOD0.png","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\UV\UV_Infantry_A_TeamColor_LOD0.png","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/L2_Reference/v001/UV_Infantry_A_TeamColor_LOD0.png","22490","2026-08-12T16:46:33+08:00","LEGACY SUPPORTING","Team-color UV layout reference."
"L3 Source","CHR_Infantry_A_v002.blend","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Source\CHR_Infantry_A_v002.blend","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/L3_Source/CHR_Infantry_A_v002.blend","231897","2026-08-13T11:51:11+08:00","CURRENT","Primary editable source corresponding to current Unity model."
"L3 Source Metadata","BUILD_RESULT.json","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Source\BUILD_RESULT.json","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/L3_Source/BUILD_RESULT.json","1502","2026-08-13T11:51:13+08:00","CURRENT","Deterministic build metrics."
"Runtime Model","SK_Infantry_A_v002.fbx","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Models\SK_Infantry_A_v002.fbx","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Runtime_Models/Current_SourceExport/SK_Infantry_A_v002.fbx","1282204","2026-08-13T11:51:12+08:00","CURRENT SOURCE EXPORT","Current Humanoid master FBX before Unity copy/import."
"Runtime Model","CHR_Infantry_A_v001_LOD0_Blue.glb","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Models\CHR_Infantry_A_v001_LOD0_Blue.glb","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Runtime_Models/Legacy_v001/CHR_Infantry_A_v001_LOD0_Blue.glb","112080","2026-08-12T16:46:33+08:00","LEGACY","v001 blue/red static model for historical comparison."
"Runtime Model","CHR_Infantry_A_v001_LOD0_Red.glb","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Models\CHR_Infantry_A_v001_LOD0_Red.glb","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Runtime_Models/Legacy_v001/CHR_Infantry_A_v001_LOD0_Red.glb","112080","2026-08-12T16:46:33+08:00","LEGACY","v001 blue/red static model for historical comparison."
"Runtime Model","CHR_Infantry_A_v001_LOD1_Blue.glb","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Models\CHR_Infantry_A_v001_LOD1_Blue.glb","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Runtime_Models/Legacy_v001/CHR_Infantry_A_v001_LOD1_Blue.glb","60008","2026-08-12T16:46:33+08:00","LEGACY","v001 blue/red static model for historical comparison."
"Runtime Model","CHR_Infantry_A_v001_LOD1_Red.glb","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v001\Models\CHR_Infantry_A_v001_LOD1_Red.glb","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Runtime_Models/Legacy_v001/CHR_Infantry_A_v001_LOD1_Red.glb","60008","2026-08-12T16:46:33+08:00","LEGACY","v001 blue/red static model for historical comparison."
"Runtime Model Input","CHR_Infantry_A_v001_LOD0_Blue.glb","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Input_v001\CHR_Infantry_A_v001_LOD0_Blue.glb","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Runtime_Models/v002_Input_v001/CHR_Infantry_A_v001_LOD0_Blue.glb","112080","2026-08-12T21:11:00+08:00","LEGACY INPUT","v001 blue input used by current deterministic v002 build."
"Runtime Model Input","CHR_Infantry_A_v001_LOD1_Blue.glb","C:\projects\Unity\AegisRTS.FrameworkLab\ArtSource\Units\Infantry\CHR_Infantry_A\v002\Input_v001\CHR_Infantry_A_v001_LOD1_Blue.glb","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Runtime_Models/v002_Input_v001/CHR_Infantry_A_v001_LOD1_Blue.glb","60008","2026-08-12T21:11:00+08:00","LEGACY INPUT","v001 blue input used by current deterministic v002 build."
"Unity Content Binding","ContentPack.json","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\PrototypeNeutral\ContentPack.json","docs/ArtProduction/ReviewPackages/Infantry_Remaster_Review_Package_v001/Unity/ContentBinding/ContentPack.json","5854","2026-08-13T09:07:43+08:00","CURRENT","Confirms unit.infantry -> PF_Unit_Infantry."
