ObjectName,Type,Parent,ParentType,Bone,Materials,Vertices,Triangles,UVSets,ShapeKeys,Modifiers,VisibleRender
SK_Infantry_A_LOD0_Team,MESH,Armature,OBJECT,,MAT_Infantry_TeamColor,66,112,1,0,ARMATURE,True
SM_Infantry_Shield_LOD0,MESH,Armature,BONE,LeftHand,MAT_Infantry_Base;MAT_Infantry_TeamColor,58,104,1,0,,True
SM_Infantry_Sword_LOD0,MESH,Armature,BONE,RightHand,MAT_Infantry_Base,66,116,1,0,,True
SK_Infantry_A_LOD0_Base,MESH,Armature,OBJECT,,MAT_Infantry_Base,2210,4044,1,0,ARMATURE,True
SK_Infantry_A_LOD1_Base,MESH,Armature,OBJECT,,MAT_Infantry_Base,694,1228,1,0,ARMATURE,True
SK_Infantry_A_LOD1_Team,MESH,Armature,OBJECT,,MAT_Infantry_TeamColor,54,88,1,0,ARMATURE,True
SM_Infantry_Shield_LOD1,MESH,Armature,BONE,LeftHand,MAT_Infantry_Base;MAT_Infantry_TeamColor,46,80,1,0,,True
SM_Infantry_Sword_LOD1,MESH,Armature,BONE,RightHand,MAT_Infantry_Base,66,116,1,0,,True
SK_Infantry_A_LOD2_Base,MESH,Armature,OBJECT,,MAT_Infantry_Base,301,442,1,0,ARMATURE,True
SK_Infantry_A_LOD2_Team,MESH,Armature,OBJECT,,MAT_Infantry_TeamColor,25,30,1,0,ARMATURE,True
SM_Infantry_Shield_LOD2,MESH,Armature,BONE,LeftHand,MAT_Infantry_Base;MAT_Infantry_TeamColor,20,28,1,0,,True
SM_Infantry_Sword_LOD2,MESH,Armature,BONE,RightHand,MAT_Infantry_Base,29,42,1,0,,True
Armature,ARMATURE,,OBJECT,,,,,,,,True
SelectionAnchor,EMPTY,,OBJECT,,,,,,,,True
HealthBarAnchor,EMPTY,,OBJECT,,,,,,,,True
GroundContact,EMPTY,,OBJECT,,,,,,,,True
Socket_R_Hand,EMPTY,Armature,BONE,RightHand,,,,,,,True
Socket_L_Hand,EMPTY,Armature,BONE,LeftHand,,,,,,,True
Socket_WeaponTip,EMPTY,Armature,BONE,RightHand,,,,,,,True
Socket_Head,EMPTY,Armature,BONE,Head,,,,,,,True
FX_Hit_Center,EMPTY,Armature,BONE,Chest,,,,,,,True
FX_Foot_L,EMPTY,Armature,BONE,LeftFoot,,,,,,,True
FX_Foot_R,EMPTY,Armature,BONE,RightFoot,,,,,,,True
