ObjectName,Collection,Vertices,Triangles,Materials,Parent,BindingStatus,AttachmentBone,NonManifoldEdges,BoundaryEdges,LooseEdges,ZeroAreaFaces
Body_Base,GEO_BODY,226,448,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
BootSole_L,GEO_BODY,74,144,MAT_v003_Review_Leather,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
BootSole_R,GEO_BODY,74,144,MAT_v003_Review_Leather,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Boot_L,GEO_BODY,122,240,MAT_v003_Review_Leather,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Boot_R,GEO_BODY,122,240,MAT_v003_Review_Leather,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Bracer_L,GEO_ARMOR,86,168,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Bracer_R,GEO_ARMOR,86,168,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Calf_L,GEO_BODY,106,208,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Calf_R,GEO_BODY,106,208,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
ChestArmor,GEO_ARMOR,182,360,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
ChestArmor_Center,GEO_ARMOR,96,188,MAT_v003_Review_Steel,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
ChestArmor_Lamellar_1,GEO_ARMOR,432,860,MAT_v003_Review_Steel,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
ChestArmor_Lamellar_2,GEO_ARMOR,432,860,MAT_v003_Review_Steel,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
ChestArmor_Lamellar_3,GEO_ARMOR,432,860,MAT_v003_Review_Steel,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
ChestArmor_Lamellar_4,GEO_ARMOR,432,860,MAT_v003_Review_Steel,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Elbow_L,GEO_BODY,314,624,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Elbow_R,GEO_BODY,314,624,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Face_Brow_L,GEO_BODY,96,188,MAT_v003_Review_Skin,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Face_Brow_R,GEO_BODY,96,188,MAT_v003_Review_Skin,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Face_Cheek_L,GEO_BODY,222,440,MAT_v003_Review_Skin,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Face_Cheek_R,GEO_BODY,222,440,MAT_v003_Review_Skin,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Face_Chin,GEO_BODY,222,440,MAT_v003_Review_Skin,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Face_Nose,GEO_BODY,96,188,MAT_v003_Review_Skin,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Forearm_L,GEO_BODY,98,192,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Forearm_R,GEO_BODY,98,192,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Hand_L,GEO_BODY,62,120,MAT_v003_Review_Skin,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Hand_R,GEO_BODY,62,120,MAT_v003_Review_Skin,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Head,GEO_BODY,758,1512,MAT_v003_Review_Skin,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Helmet,GEO_ARMOR,398,792,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Helmet_Plume,GEO_ARMOR,82,160,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Helmet_Rim,GEO_ARMOR,110,216,MAT_v003_Review_Steel,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Helmet_TopMount,GEO_ARMOR,366,728,MAT_v003_Review_Steel,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Knee_L,GEO_BODY,314,624,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Knee_R,GEO_BODY,314,624,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
LegWrap_L_1,GEO_ARMOR,142,280,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
LegWrap_L_2,GEO_ARMOR,142,280,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
LegWrap_L_3,GEO_ARMOR,142,280,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
LegWrap_L_4,GEO_ARMOR,142,280,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
LegWrap_R_1,GEO_ARMOR,142,280,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
LegWrap_R_2,GEO_ARMOR,142,280,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
LegWrap_R_3,GEO_ARMOR,142,280,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
LegWrap_R_4,GEO_ARMOR,142,280,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Neck,GEO_BODY,74,144,MAT_v003_Review_Skin,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Pelvis,GEO_BODY,114,224,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Scarf,GEO_ARMOR,86,168,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Scarf_Drape,GEO_ARMOR,74,144,MAT_v003_Review_Cloth,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
Shield,GEO_WEAPON,152,300,MAT_v003_Review_Wood,Armature,PHASE02_RIGID_ATTACHMENT_PLANNED,LeftHand,0,0,0,0
Shield_Boss,GEO_WEAPON,546,1088,MAT_v003_Review_Steel,Armature,PHASE02_RIGID_ATTACHMENT_PLANNED,LeftHand,0,0,0,0
Shield_Reinforcement_H,GEO_WEAPON,96,188,MAT_v003_Review_Steel,Armature,PHASE02_RIGID_ATTACHMENT_PLANNED,LeftHand,0,0,0,0
Shield_Reinforcement_V,GEO_WEAPON,96,188,MAT_v003_Review_Steel,Armature,PHASE02_RIGID_ATTACHMENT_PLANNED,LeftHand,0,0,0,0
Shield_Rim,GEO_WEAPON,304,608,MAT_v003_Review_Steel,Armature,PHASE02_RIGID_ATTACHMENT_PLANNED,LeftHand,0,0,0,0
ShoulderArmor_L_1,GEO_ARMOR,464,924,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
ShoulderArmor_L_2,GEO_ARMOR,464,924,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
ShoulderArmor_L_3,GEO_ARMOR,464,924,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
ShoulderArmor_R_1,GEO_ARMOR,464,924,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
ShoulderArmor_R_2,GEO_ARMOR,464,924,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
ShoulderArmor_R_3,GEO_ARMOR,464,924,MAT_v003_Review_Armor,Armature,PHASE02_STATIC_APOSE_REVIEW,,0,0,0,0
