Bone,Parent,Deform
Root,,True
Hips,Root,True
Spine,Hips,True
Chest,Spine,True
UpperChest,Chest,True
Neck,UpperChest,True
Head,Neck,True
LeftShoulder,UpperChest,True
LeftUpperArm,LeftShoulder,True
LeftLowerArm,LeftUpperArm,True
LeftHand,LeftLowerArm,True
RightShoulder,UpperChest,True
RightUpperArm,RightShoulder,True
RightLowerArm,RightUpperArm,True
RightHand,RightLowerArm,True
Socket_R_Hand,RightHand,False
LeftUpperLeg,Hips,True
LeftLowerLeg,LeftUpperLeg,True
LeftFoot,LeftLowerLeg,True
LeftToes,LeftFoot,True
RightUpperLeg,Hips,True
RightLowerLeg,RightUpperLeg,True
RightFoot,RightLowerLeg,True
RightToes,RightFoot,True
